area Name,area type,year,variable,value
St. Helena,Municipality,1990,High School Graduates White Age 25 Up,144.0
Ayden,Municipality,1990,High School Graduates White Age 25 Up,1263.0
Burnsville Township,Township,1990,High School Graduates White Age 25 Up,553.0
Falkland,Municipality,2000,High School Graduates White Age 25 Up,30.0
Asheboro,Municipality,2010,High School Graduates White Age 25 Up,9455.0
Frenchs Creek Twp.,Township,1990,High School Graduates White Age 25 Up,147.0
Ramseur,Municipality,1980,High School Graduates White Age 25 Up,173.0
Staley,Municipality,1990,High School Graduates White Age 25 Up,80.0
Tract 38.04,Tract,1990,High School Graduates White Age 25 Up,1417.0
Franklin,Municipality,1990,High School Graduates White Age 25 Up,1413.0
Boone,Municipality,2010,High School Graduates White Age 25 Up,3977.0
Goldsboro,Municipality,2000,High School Graduates White Age 25 Up,9373.0
North Wilkesboro,Municipality,2010,High School Graduates White Age 25 Up,1670.0
Sims,Municipality,2000,High School Graduates White Age 25 Up,73.0
Bath,Municipality,2000,High School Graduates White Age 25 Up,166.0
Pantego,Municipality,1980,High School Graduates White Age 25 Up,35.0
Tar Heel,Municipality,2010,High School Graduates White Age 25 Up,50.0
Grimesland,Municipality,2010,High School Graduates White Age 25 Up,171.0
Simpson,Municipality,1990,High School Graduates White Age 25 Up,82.0
Hamlet,Municipality,1990,High School Graduates White Age 25 Up,1993.0
Tobaccoville,Municipality,2010,High School Graduates White Age 25 Up,1384.0
Centerville,Municipality,2010,High School Graduates White Age 25 Up,60.0
Bailey Township,Township,1990,High School Graduates White Age 25 Up,998.0
Oxford,Municipality,2015,High School Graduates White Age 25 Up,2563.0
Hookerton,Municipality,1980,High School Graduates White Age 25 Up,59.0
Locust,Municipality,1990,High School Graduates White Age 25 Up,805.0
Norwood,Municipality,2015,High School Graduates White Age 25 Up,1319.0
Tract 333.01,Tract,1990,High School Graduates White Age 25 Up,2419.0
Tract 23,Tract,1990,High School Graduates White Age 25 Up,527.0
Elkin,Municipality,2000,High School Graduates White Age 25 Up,1816.0
Tract 28.05,Tract,1990,High School Graduates White Age 25 Up,2126.0
Stallings,Municipality,2015,High School Graduates White Age 25 Up,8036.0
Tract 330,Tract,1990,High School Graduates White Age 25 Up,145.0
Randolph County,County,1990,High School Graduates White Age 25 Up,41159.0
Old Fort,Municipality,1990,High School Graduates White Age 25 Up,192.0
Franklin,Municipality,2015,High School Graduates White Age 25 Up,2090.0
Mars Hill,Municipality,2000,High School Graduates White Age 25 Up,701.0
Marshall,Municipality,1980,High School Graduates White Age 25 Up,112.0
Everetts,Municipality,2010,High School Graduates White Age 25 Up,83.0
Charlotte,Municipality,1980,High School Graduates White Age 25 Up,35421.0
Sugar Mountain,Municipality,2000,High School Graduates White Age 25 Up,142.0
Lewiston Woodville,Municipality,2000,High School Graduates White Age 25 Up,138.0
Tar Heel,Municipality,2015,High School Graduates White Age 25 Up,3664.0
Boiling Spring Lakes,Municipality,1980,High School Graduates White Age 25 Up,251.0
Bolivia,Municipality,1990,High School Graduates White Age 25 Up,100.0
Shallotte,Municipality,2000,High School Graduates White Age 25 Up,810.0
New Bern,Municipality,2010,High School Graduates White Age 25 Up,11559.0
Wade,Municipality,2000,High School Graduates White Age 25 Up,173.0
Zebulon-Johnston,Municipal Part,2000,High School Graduates White Age 25 Up,0.0
Pantego Township,Township,1990,High School Graduates White Age 25 Up,2167.0
Drexel Township,Township,1990,High School Graduates White Age 25 Up,2518.0
Sharpsburg,Municipality,2015,High School Graduates White Age 25 Up,463.0
Carolina Beach,Municipality,2010,High School Graduates White Age 25 Up,3744.0
Seaboard,Municipality,1990,High School Graduates White Age 25 Up,117.0
